Raf,Mek,Plcg,PIP2,PIP3,Erk,Akt,PKA,PKC,P38,Jnk
"[1.49,33.3155]","[1.01,30.109]","[1,8.4]","(41.25,202.25]","[1,43.1]","(41.261,81.142]","(60.25,119.5]","(1510.81,9910]","[1,20]","[2.35,46.215]","[1,48.3]"
"[1.49,33.3155]","[1.01,30.109]","(8.4,30.6]","[1,41.25]","[1,43.1]","[1.38,41.261]","[1,60.25]","[28.6,1016.74]","[1,20]","[2.35,46.215]","[1,48.3]"
"[1.49,33.3155]","[1.01,30.109]","(8.4,30.6]","[1,41.25]","[1,43.1]","[1.38,41.261]","[1,60.25]","[28.6,1016.74]","(20,29.5]","(68.1475,441]","(71.95,474]"
"[1.49,33.3155]","[1.01,30.109]","(30.6,149]","(41.25,202.25]","[1,43.1]","[1.38,41.261]","(60.25,119.5]","(1016.74,1510.81]","[1,20]","[2.35,46.215]","(48.3,71.95]"
"(33.3155,65.141]","[1.01,30.109]","(30.6,149]","(202.25,806]","(43.1,127.3]","(81.142,799]","(119.5,1186]","(1016.74,1510.81]","(29.5,191]","(68.1475,441]","(71.95,474]"
"[1.49,33.3155]","[1.01,30.109]","[1,8.4]","[1,41.25]","[1,43.1]","[1.38,41.261]","[1,60.25]","[28.6,1016.74]","[1,20]","[2.35,46.215]","(48.3,71.95]"
"[1.49,33.3155]","[1.01,30.109]","[1,8.4]","(41.25,202.25]","[1,43.1]","[1.38,41.261]","[1,60.25]","[28.6,1016.74]","(20,29.5]","(46.215,68.1475]","(71.95,474]"
"[1.49,33.3155]","(30.109,44.6585]","[1,8.4]","(202.25,806]","(43.1,127.3]","(81.142,799]","(119.5,1186]","(1510.81,9910]","(29.5,191]","(68.1475,441]","(71.95,474]"
"(65.141,638]","(44.6585,292]","[1,8.4]","(41.25,202.25]","[1,43.1]","(41.261,81.142]","(60.25,119.5]","(1510.81,9910]","[1,20]","[2.35,46.215]","(71.95,474]"
"(65.141,638]","(44.6585,292]","(8.4,30.6]","[1,41.25]","[1,43.1]","[1.38,41.261]","[1,60.25]","(1016.74,1510.81]","[1,20]","[2.35,46.215]","[1,48.3]"
"[1.49,33.3155]","[1.01,30.109]","[1,8.4]","[1,41.25]","[1,43.1]","[1.38,41.261]","[1,60.25]","[28.6,1016.74]","(20,29.5]","(46.215,68.1475]","(71.95,474]"
"(65.141,638]","(44.6585,292]","(8.4,30.6]","[1,41.25]","[1,43.1]","(41.261,81.142]","(119.5,1186]","(1016.74,1510.81]","(29.5,191]","(68.1475,441]","(71.95,474]"
"[1.49,33.3155]","[1.01,30.109]","[1,8.4]","[1,41.25]","[1,43.1]","(41.261,81.142]","(119.5,1186]","(1510.81,9910]","(29.5,191]","(68.1475,441]","(71.95,474]"
"[1.49,33.3155]","[1.01,30.109]","(8.4,30.6]","(41.25,202.25]","[1,43.1]","[1.38,41.261]","[1,60.25]","[28.6,1016.74]","(29.5,191]","(68.1475,441]","(71.95,474]"
"(33.3155,65.141]","(30.109,44.6585]","(8.4,30.6]","[1,41.25]","[1,43.1]","[1.38,41.261]","[1,60.25]","[28.6,1016.74]","(20,29.5]","(46.215,68.1475]","(71.95,474]"
"[1.49,33.3155]","[1.01,30.109]","(30.6,149]","(202.25,806]","(43.1,127.3]","[1.38,41.261]","(60.25,119.5]","(1016.74,1510.81]","[1,20]","[2.35,46.215]","[1,48.3]"
"(65.141,638]","(44.6585,292]","[1,8.4]","[1,41.25]","[1,43.1]","(41.261,81.142]","(60.25,119.5]","(1016.74,1510.81]","[1,20]","[2.35,46.215]","(48.3,71.95]"
"(65.141,638]","(44.6585,292]","[1,8.4]","(41.25,202.25]","[1,43.1]","[1.38,41.261]","[1,60.25]","(1016.74,1510.81]","[1,20]","[2.35,46.215]","(48.3,71.95]"
"(65.141,638]","(44.6585,292]","[1,8.4]","[1,41.25]","[1,43.1]","[1.38,41.261]","(60.25,119.5]","[28.6,1016.74]","(29.5,191]","(68.1475,441]","(71.95,474]"
"(65.141,638]","(44.6585,292]","(30.6,149]","(41.25,202.25]","[1,43.1]","[1.38,41.261]","[1,60.25]","[28.6,1016.74]","(29.5,191]","(68.1475,441]","(71.95,474]"
